PODid,ici,timeIci_num,timeIci_str,timeIci_year,timeIci_month,timeIci_day,timeIci_hour,timeIci_min,timeIci_sec,nixAv,bwAv,frqAv,fendAv,cycleAv,classication
CPOD_2023-BE_gardencity,0.547768,739072.006378106,2023-07-05 00:09:11,2023,7,5,0,9,11.068344,12,0.5,125,121.5,6,inter
CPOD_2023-BE_gardencity,0.803945000000001,739072.006384446,2023-07-05 00:09:11,2023,7,5,0,9,11.616112,11.5,0.5,141.5,138.5,10.5,inter
CPOD_2023-BE_gardencity,0.796083999999999,739072.006393751,2023-07-05 00:09:12,2023,7,5,0,9,12.420057,14,1.5,131.5,131.5,11.5,inter
CPOD_2023-BE_gardencity,0.796055000000001,739072.006402965,2023-07-05 00:09:13,2023,7,5,0,9,13.216141,14,1.5,128,121,7,inter
CPOD_2023-BE_gardencity,0.684951999999999,739072.006412178,2023-07-05 00:09:14,2023,7,5,0,9,14.012196,13.5,0.5,129,121,5.5,inter
CPOD_2023-BE_gardencity,0.613157000000001,739072.006420106,2023-07-05 00:09:14,2023,7,5,0,9,14.697148,13.5,0.5,127,117,6,inter
CPOD_2023-BE_gardencity,673.251771,739072.006427203,2023-07-05 00:09:15,2023,7,5,0,9,15.310305,14,2.5,117.5,98,6,inter
CPOD_2023-BE_gardencity,0.55669,739072.014219468,2023-07-05 00:20:28,2023,7,5,0,20,28.562076,14.5,2.5,111.5,105.5,5,inter
CPOD_2023-BE_gardencity,0.550407,739072.014225912,2023-07-05 00:20:29,2023,7,5,0,20,29.118766,12.5,1.5,128.5,129.5,5,inter
CPOD_2023-BE_gardencity,0.687499000000003,739072.014232282,2023-07-05 00:20:29,2023,7,5,0,20,29.669173,12,1,132.5,126,6,inter
CPOD_2023-BE_gardencity,0.677060999999998,739072.014240239,2023-07-05 00:20:30,2023,7,5,0,20,30.356672,14.5,0,133,129.5,7,inter
CPOD_2023-BE_gardencity,2365.012367,739072.014248076,2023-07-05 00:20:31,2023,7,5,0,20,31.033733,18.5,0.5,131.5,129.5,8.5,inter
CPOD_2023-BE_gardencity,0.0308270000000022,739072.041620904,2023-07-05 00:59:56,2023,7,5,0,59,56.0461,40.5,0.5,131.5,131.5,11,other
CPOD_2023-BE_gardencity,0.031958000000003,739072.041621261,2023-07-05 00:59:56,2023,7,5,0,59,56.076927,84.5,0,137,135,20,other
CPOD_2023-BE_gardencity,0.0295779999999937,739072.041621631,2023-07-05 00:59:56,2023,7,5,0,59,56.108885,60,0.5,135,137.5,16.5,other
CPOD_2023-BE_gardencity,0.029401,739072.041621973,2023-07-05 00:59:56,2023,7,5,0,59,56.138463,12.5,0.5,128.5,133,5,other
CPOD_2023-BE_gardencity,0.0294220000000038,739072.041622313,2023-07-05 00:59:56,2023,7,5,0,59,56.167864,128.5,0,129,130.5,11.5,other
CPOD_2023-BE_gardencity,0.0306789999999992,739072.041622654,2023-07-05 00:59:56,2023,7,5,0,59,56.197286,138,0.5,127.5,131.5,13.5,other
CPOD_2023-BE_gardencity,0.0305949999999982,739072.041623009,2023-07-05 00:59:56,2023,7,5,0,59,56.227965,23.5,1,129,123,7,other
CPOD_2023-BE_gardencity,0.0167190000000019,739072.041623363,2023-07-05 00:59:56,2023,7,5,0,59,56.25856,11,1,138,123,5.5,other
CPOD_2023-BE_gardencity,0.0398259999999979,739072.041623557,2023-07-05 00:59:56,2023,7,5,0,59,56.275279,15.5,1.5,128,118.5,7.5,other
CPOD_2023-BE_gardencity,0.0292620000000028,739072.041624017,2023-07-05 00:59:56,2023,7,5,0,59,56.315105,64,1.5,126.5,125.5,13.5,other
CPOD_2023-BE_gardencity,0.0283459999999991,739072.041624356,2023-07-05 00:59:56,2023,7,5,0,59,56.344367,93,0.5,136.5,133,17,other
CPOD_2023-BE_gardencity,0.0281149999999997,739072.041624684,2023-07-05 00:59:56,2023,7,5,0,59,56.372713,66,0.5,133,123.5,13,other
CPOD_2023-BE_gardencity,0.0280550000000019,739072.04162501,2023-07-05 00:59:56,2023,7,5,0,59,56.400828,60,0.5,133.5,122,11.5,other
CPOD_2023-BE_gardencity,0.0217529999999968,739072.041625334,2023-07-05 00:59:56,2023,7,5,0,59,56.428883,40,1,132,137.5,9,other
CPOD_2023-BE_gardencity,0.021763,739072.041625586,2023-07-05 00:59:56,2023,7,5,0,59,56.450636,11,1.5,121,131.5,6,other
CPOD_2023-BE_gardencity,0.0140999999999991,739072.041625838,2023-07-05 00:59:56,2023,7,5,0,59,56.472399,10.5,1.5,120.5,120.5,6,other
CPOD_2023-BE_gardencity,0.0282650000000046,739072.041626001,2023-07-05 00:59:56,2023,7,5,0,59,56.486499,14.5,1,126,123,6.5,other
CPOD_2023-BE_gardencity,100.67583,739072.041626328,2023-07-05 00:59:56,2023,7,5,0,59,56.514764,15.5,0,123.5,116,7,inter
CPOD_2023-BE_gardencity,0.0486179999999976,739072.042791558,2023-07-05 01:01:37,2023,7,5,1,1,37.190594,13.5,0,126,118,6.5,other
CPOD_2023-BE_gardencity,0.0448490000000064,739072.04279212,2023-07-05 01:01:37,2023,7,5,1,1,37.239212,13.5,0.5,131.5,119,10,other
CPOD_2023-BE_gardencity,0.0510019999999969,739072.04279264,2023-07-05 01:01:37,2023,7,5,1,1,37.284061,24.5,0.5,132,122,14,other
CPOD_2023-BE_gardencity,0.0448370000000011,739072.04279323,2023-07-05 01:01:37,2023,7,5,1,1,37.335063,48.5,0,134,129.5,14,other
CPOD_2023-BE_gardencity,0.0437019999999961,739072.042793749,2023-07-05 01:01:37,2023,7,5,1,1,37.3799,90,0.5,134,133,15,other
CPOD_2023-BE_gardencity,0.0447210000000027,739072.042794255,2023-07-05 01:01:37,2023,7,5,1,1,37.423602,131.5,0.5,132.5,134.5,34.5,other
CPOD_2023-BE_gardencity,0.0434309999999982,739072.042794772,2023-07-05 01:01:37,2023,7,5,1,1,37.468323,84.5,0,134,131,39.5,other
CPOD_2023-BE_gardencity,0.0409040000000047,739072.042795275,2023-07-05 01:01:37,2023,7,5,1,1,37.511754,63,0,134.5,123.5,23,other
CPOD_2023-BE_gardencity,0.0399059999999949,739072.042795748,2023-07-05 01:01:37,2023,7,5,1,1,37.552658,58,0.5,135.5,131.5,14,other
CPOD_2023-BE_gardencity,0.0804940000000016,739072.04279621,2023-07-05 01:01:37,2023,7,5,1,1,37.592564,14.5,1,137,142.5,8,other
