PODid,ici,timeIci_num,timeIci_str,timeIci_year,timeIci_month,timeIci_day,timeIci_hour,timeIci_min,timeIci_sec,nixAv,bwAv,frqAv,fendAv,cycleAv,classication
CPOD_2023-BSW_278093,0.0128399999999971,739013.613422623,2023-05-07 14:43:19,2023,5,7,14,43,19.714638,33.5,0,133.5,126.5,11,other
CPOD_2023-BSW_278093,0.0140139999999995,739013.613422772,2023-05-07 14:43:19,2023,5,7,14,43,19.727478,28.5,0.5,128,139.5,11.5,other
CPOD_2023-BSW_278093,0.0128910000000033,739013.613422934,2023-05-07 14:43:19,2023,5,7,14,43,19.741492,16,0.5,127.5,135,12.5,other
CPOD_2023-BSW_278093,0.0129039999999989,739013.613423083,2023-05-07 14:43:19,2023,5,7,14,43,19.754383,16,0.5,131.5,117.5,13,other
CPOD_2023-BSW_278093,0.0128050000000002,739013.613423232,2023-05-07 14:43:19,2023,5,7,14,43,19.767287,17.5,1,129.5,125.5,13.5,other
CPOD_2023-BSW_278093,0.0125959999999985,739013.613423381,2023-05-07 14:43:19,2023,5,7,14,43,19.780092,21,0.5,127.5,131.5,12.5,other
CPOD_2023-BSW_278093,0.101289000000001,739013.613423527,2023-05-07 14:43:19,2023,5,7,14,43,19.792688,35,0,125.5,124.5,10.5,other
CPOD_2023-BSW_278093,0.0101820000000004,739013.613424699,2023-05-07 14:43:19,2023,5,7,14,43,19.893977,51.5,0,126,120,11,other
CPOD_2023-BSW_278093,0.0103019999999994,739013.613424817,2023-05-07 14:43:19,2023,5,7,14,43,19.904159,37.5,0,126,117.5,13.5,other
CPOD_2023-BSW_278093,0.0101450000000014,739013.613424936,2023-05-07 14:43:19,2023,5,7,14,43,19.914461,34,0,129.5,129,15,other
CPOD_2023-BSW_278093,0.0101939999999985,739013.613425053,2023-05-07 14:43:19,2023,5,7,14,43,19.924606,41,0,130,135,13.5,other
CPOD_2023-BSW_278093,0.00911999999999935,739013.613425171,2023-05-07 14:43:19,2023,5,7,14,43,19.9348,27,0.5,128,119.5,14,buzz
CPOD_2023-BSW_278093,329.206855,739013.613425277,2023-05-07 14:43:19,2023,5,7,14,43,19.94392,31,0.5,128,123,16,inter
CPOD_2023-BSW_278093,0.0192060000000041,739013.617235541,2023-05-07 14:48:49,2023,5,7,14,48,49.150775,39,0,131,135,15,other
CPOD_2023-BSW_278093,0.0154899999999998,739013.617235764,2023-05-07 14:48:49,2023,5,7,14,48,49.169981,34.5,0,135,148,13,other
CPOD_2023-BSW_278093,0.0164709999999957,739013.617235943,2023-05-07 14:48:49,2023,5,7,14,48,49.185471,42.5,0,130.5,134.5,16.5,other
CPOD_2023-BSW_278093,0.014287000000003,739013.617236134,2023-05-07 14:48:49,2023,5,7,14,48,49.201942,53,0,132,125,16.5,other
CPOD_2023-BSW_278093,0.0153490000000005,739013.617236299,2023-05-07 14:48:49,2023,5,7,14,48,49.216229,48.5,0,135,135,20,other
CPOD_2023-BSW_278093,0.0152619999999999,739013.617236477,2023-05-07 14:48:49,2023,5,7,14,48,49.231578,49.5,0.5,130.5,129.5,19.5,other
CPOD_2023-BSW_278093,0.014209000000001,739013.617236653,2023-05-07 14:48:49,2023,5,7,14,48,49.24684,60,0.5,131,128,11,other
CPOD_2023-BSW_278093,0.0305719999999994,739013.617236818,2023-05-07 14:48:49,2023,5,7,14,48,49.261049,84.5,0,134.5,130,23,other
CPOD_2023-BSW_278093,0.0142290000000003,739013.617237172,2023-05-07 14:48:49,2023,5,7,14,48,49.291621,117.5,0,136,135,32,other
CPOD_2023-BSW_278093,0.0152670000000015,739013.617237336,2023-05-07 14:48:49,2023,5,7,14,48,49.30585,77.5,0.5,131,118.5,26,other
