PODid,ici,timeIci_num,timeIci_str,timeIci_year,timeIci_month,timeIci_day,timeIci_hour,timeIci_min,timeIci_sec,nixAv,bwAv,frqAv,fendAv,cycleAv,classication
CPOD_2021-BE_birkenfels,0.0897639999999953,738349.577498489,2021-07-12 13:51:35,2021,7,12,13,51,35.869447,42.5,0,138,139,11,other
CPOD_2021-BE_birkenfels,0.0985360000000028,738349.577499528,2021-07-12 13:51:35,2021,7,12,13,51,35.959211,51.5,0,135,128,10.5,other
CPOD_2021-BE_birkenfels,0.122962000000001,738349.577500668,2021-07-12 13:51:36,2021,7,12,13,51,36.057747,52,0,133,123,11,other
CPOD_2021-BE_birkenfels,0.112445999999998,738349.577502092,2021-07-12 13:51:36,2021,7,12,13,51,36.180709,55,0,134,134,14.5,other
CPOD_2021-BE_birkenfels,0.108901000000003,738349.577503393,2021-07-12 13:51:36,2021,7,12,13,51,36.293155,69,0,136,136,15,other
CPOD_2021-BE_birkenfels,1.14422399999999,738349.577504653,2021-07-12 13:51:36,2021,7,12,13,51,36.402056,67.5,0,136,130,12,inter
CPOD_2021-BE_birkenfels,0.0296070000000057,738349.577517897,2021-07-12 13:51:37,2021,7,12,13,51,37.54628,64,0,135.5,125.5,11.5,other
CPOD_2021-BE_birkenfels,0.0269169999999974,738349.577518239,2021-07-12 13:51:37,2021,7,12,13,51,37.575887,71.5,0.5,133.5,125.5,14,other
CPOD_2021-BE_birkenfels,0.0242020000000025,738349.577518551,2021-07-12 13:51:37,2021,7,12,13,51,37.602804,73,0.5,132,131.5,14,other
CPOD_2021-BE_birkenfels,0.0216809999999938,738349.577518831,2021-07-12 13:51:37,2021,7,12,13,51,37.627006,73,0,132,124.5,10.5,other
CPOD_2021-BE_birkenfels,0.0204440000000048,738349.577519082,2021-07-12 13:51:37,2021,7,12,13,51,37.648687,72,0,132.5,121,10.5,other
CPOD_2021-BE_birkenfels,4598.003384,738349.577519319,2021-07-12 13:51:37,2021,7,12,13,51,37.669131,45,1,132,124.5,10.5,inter
CPOD_2021-BE_birkenfels,0.0371310000000005,738349.63073695,2021-07-12 15:08:15,2021,7,12,15,8,15.672515,20.5,1,132.5,123.5,10.5,other
CPOD_2021-BE_birkenfels,0.0370240000000006,738349.63073738,2021-07-12 15:08:15,2021,7,12,15,8,15.709646,23,0.5,130.5,119,10.5,other
CPOD_2021-BE_birkenfels,0.0511590000000002,738349.630737809,2021-07-12 15:08:15,2021,7,12,15,8,15.74667,24,1.5,128,117.5,10,other
CPOD_2021-BE_birkenfels,0.0601269999999996,738349.630738401,2021-07-12 15:08:15,2021,7,12,15,8,15.797829,26,1.5,130.5,122,10,other
CPOD_2021-BE_birkenfels,28410.642078,738349.630739097,2021-07-12 15:08:15,2021,7,12,15,8,15.857956,26.5,0.5,133,128,10,inter
CPOD_2021-BE_birkenfels,0.0281310000000019,738349.959565973,2021-07-12 23:01:46,2021,7,12,23,1,46.500034,26.5,0.5,132.5,137.5,12.5,other
CPOD_2021-BE_birkenfels,0.0282199999999975,738349.959566298,2021-07-12 23:01:46,2021,7,12,23,1,46.528165,27.5,0.5,131,134,12.5,other
CPOD_2021-BE_birkenfels,0.0292990000000017,738349.959566625,2021-07-12 23:01:46,2021,7,12,23,1,46.556385,28,0,130.5,126,10.5,other
CPOD_2021-BE_birkenfels,0.0306369999999987,738349.959566964,2021-07-12 23:01:46,2021,7,12,23,1,46.585684,30.5,0,131,129.5,10.5,other
CPOD_2021-BE_birkenfels,103447.66741,738349.959567319,2021-07-12 23:01:46,2021,7,12,23,1,46.616321,25.5,0,135.5,128,11.5,inter
CPOD_2021-BE_birkenfels,0.0909040000000019,738351.156878284,2021-07-14 03:45:54,2021,7,14,3,45,54.283731,35,0.5,137,135,13.5,other
CPOD_2021-BE_birkenfels,0.0960090000000022,738351.156879336,2021-07-14 03:45:54,2021,7,14,3,45,54.374635,57,0.5,134.5,138.5,13,other
CPOD_2021-BE_birkenfels,0.116374999999998,738351.156880447,2021-07-14 03:45:54,2021,7,14,3,45,54.470644,42.5,0.5,135.5,130,12,other
CPOD_2021-BE_birkenfels,0.126787,738351.156881794,2021-07-14 03:45:54,2021,7,14,3,45,54.587019,43,1,145.5,122,15,other
CPOD_2021-BE_birkenfels,0.124051999999999,738351.156883262,2021-07-14 03:45:54,2021,7,14,3,45,54.713806,70.5,0.5,146,125,17.5,other
CPOD_2021-BE_birkenfels,0.0921850000000006,738351.156884697,2021-07-14 03:45:54,2021,7,14,3,45,54.837858,75.5,0,137,134.5,21.5,other
CPOD_2021-BE_birkenfels,0.206158000000002,738351.156885764,2021-07-14 03:45:54,2021,7,14,3,45,54.930043,63,0,138,142.5,19,inter
CPOD_2021-BE_birkenfels,0.25732,738351.15688815,2021-07-14 03:45:55,2021,7,14,3,45,55.136201,34,0.5,143,142.5,13.5,inter
CPOD_2021-BE_birkenfels,0.264786999999998,738351.156891129,2021-07-14 03:45:55,2021,7,14,3,45,55.393521,52,0.5,143.5,152,16,inter
CPOD_2021-BE_birkenfels,0.240577999999999,738351.156894193,2021-07-14 03:45:55,2021,7,14,3,45,55.658308,62,0,147,154,22.5,inter
CPOD_2021-BE_birkenfels,38594.691894,738351.156896978,2021-07-14 03:45:55,2021,7,14,3,45,55.898886,43.5,0,143.5,140,21.5,inter
CPOD_2021-BE_birkenfels,0.0435510000000008,738351.603594801,2021-07-14 14:29:10,2021,7,14,14,29,10.59078,58.5,0,133.5,136.5,15,other
CPOD_2021-BE_birkenfels,0.04237,738351.603595305,2021-07-14 14:29:10,2021,7,14,14,29,10.634331,72.5,0,133,141,16.5,other
CPOD_2021-BE_birkenfels,0.0459010000000006,738351.603595795,2021-07-14 14:29:10,2021,7,14,14,29,10.676701,78.5,0,133.5,136,17,other
CPOD_2021-BE_birkenfels,0.0435929999999995,738351.603596326,2021-07-14 14:29:10,2021,7,14,14,29,10.722602,76.5,0,134.5,133.5,15,other
CPOD_2021-BE_birkenfels,0.426200999999999,738351.603596831,2021-07-14 14:29:10,2021,7,14,14,29,10.766195,69.5,0,134,138.5,14,inter
CPOD_2021-BE_birkenfels,0.0423110000000015,738351.603601764,2021-07-14 14:29:11,2021,7,14,14,29,11.192396,73.5,0,133.5,141,14.5,other
CPOD_2021-BE_birkenfels,0.0473349999999986,738351.603602254,2021-07-14 14:29:11,2021,7,14,14,29,11.234707,85,0,134,144.5,16.5,other
CPOD_2021-BE_birkenfels,0.0511900000000001,738351.603602801,2021-07-14 14:29:11,2021,7,14,14,29,11.282042,84,0,134,136.5,16.5,other
CPOD_2021-BE_birkenfels,0.0549940000000007,738351.603603394,2021-07-14 14:29:11,2021,7,14,14,29,11.333232,82.5,0,134,146,15.5,other
CPOD_2021-BE_birkenfels,7.151474,738351.60360403,2021-07-14 14:29:11,2021,7,14,14,29,11.388226,73.5,0,133,141,16,inter
CPOD_2021-BE_birkenfels,0.0358230000000006,738351.603686802,2021-07-14 14:29:18,2021,7,14,14,29,18.5397,62.5,0,132,126,16,other
CPOD_2021-BE_birkenfels,0.034476999999999,738351.603687217,2021-07-14 14:29:18,2021,7,14,14,29,18.575523,65,0,131.5,128,12.5,other
CPOD_2021-BE_birkenfels,0.0321339999999992,738351.603687616,2021-07-14 14:29:18,2021,7,14,14,29,18.61,68.5,0.5,131.5,125,12.5,other
CPOD_2021-BE_birkenfels,0.034397000000002,738351.603687988,2021-07-14 14:29:18,2021,7,14,14,29,18.642134,68.5,0.5,131.5,130,16,other
CPOD_2021-BE_birkenfels,0.0334199999999996,738351.603688386,2021-07-14 14:29:18,2021,7,14,14,29,18.676531,66,0.5,135,131.5,15.5,other
