% Lines starting with % are comments
% The format of and definitions in this file may change in future versions of LSSS, last changed in LSSS version 1.9.1
% Export time: Sun Feb 04 02:19:38 CET 2024, LSSS version 2.16.0
%
% Compact printout sorted by time, one species per file.
% Nation: Netherlands(528);  Platform: 2022_APELAFICO_2021-BE(2);  
% Survey: 2021-BE_P1_birkenfels_70khz (3);  
% Description: ;  
% Scatter type: SCATTER(1000);  
% Frequency: 70000[Hz];  Transceiver: 1[-];  
%
% DATE[yyyymmdd],TIME[hhmmssxx],START_LOG[nmi],STOP_LOG[nmi],Latitude[deg],Longitude[deg],MinDepth[m],MaxDepth[m],Frequency[Hz],Transceiver[-],Threshold[dB],Species[-],ScatterPCT[m],NoPelagic[-],P_CH#[m2/nmi2],...,P_CH#[m2/nmi2],BottomUpper[m],B_CH#[m2/nmi2],...,B_CH#[m2/nmi2]
      DATE       TIME  START_LOG   STOP_LOG   Latitude  Longitude   MinDepth   MaxDepth  Frequency  Transcei.  Threshold    Species ScatterPCT  NoPelagic          P_CH000          P_CH001          P_CH002          P_CH003          P_CH004          P_CH005          P_CH006          P_CH007          P_CH008          P_CH009          P_CH010          P_CH011          P_CH012          P_CH013          P_CH014          P_CH015          P_CH016          P_CH017          P_CH018          P_CH019          P_CH020          P_CH021          P_CH022          P_CH023          P_CH024          P_CH025          P_CH026          P_CH027          P_CH028          P_CH029          P_CH030          P_CH031          P_CH032          P_CH033          P_CH034          P_CH035          P_CH036          P_CH037          P_CH038          P_CH039          P_CH040          P_CH041          P_CH042          P_CH043          P_CH044          P_CH045          P_CH046          P_CH047          P_CH048          P_CH049          P_CH050          P_CH051          P_CH052          P_CH053          P_CH054          P_CH055          P_CH056          P_CH057          P_CH058          P_CH059          P_CH060          P_CH061          P_CH062          P_CH063          P_CH064          P_CH065          P_CH066          P_CH067          P_CH068          P_CH069          P_CH070          P_CH071          P_CH072          P_CH073          P_CH074          P_CH075          P_CH076          P_CH077          P_CH078          P_CH079          P_CH080          P_CH081          P_CH082          P_CH083          P_CH084          P_CH085          P_CH086          P_CH087          P_CH088          P_CH089          P_CH090          P_CH091          P_CH092          P_CH093          P_CH094          P_CH095          P_CH096          P_CH097          P_CH098          P_CH099          P_CH100      BottomUpper            B_CH0
  20210815   18002985      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         43         34.40248         0.00000         0.54802        11.86414         3.17891         4.98477         6.34109         2.66322         0.31972         0.00000         0.57507         0.06026         0.55662         0.05152         0.00000         0.00000         0.15939         0.00000         0.15998         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.05261         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.10106         0.00000         0.00000         0.42048         0.30088         1.42024         0.64452        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18005989      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         58         64.35453         0.00000         0.00173         2.30673         2.00145         4.43756         0.00000         1.79731         0.77156         2.50570         0.00000         0.70848         0.00000         0.04896         0.11896         0.00000         0.04882         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.16390         0.07461         0.00000         0.00000         0.00000         0.00000         0.00000         0.46024         1.06917         8.30806        12.45973         9.65892         9.78739         3.38779         2.43659         0.03533         0.00000         0.00000         0.00000         0.04962         0.05550         0.00000         0.00000         0.05023         0.11018         0.00000         0.16205         0.04822         1.01139         0.27836        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18012991      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         59         11.13749         0.00000         0.25403         1.13355         0.76346         1.36453         0.53867         0.58082         0.00000         0.00000         0.00000         0.00000         0.60529         0.00000         0.00000         0.00000         0.11739         0.00000         0.01477         0.15202         0.00000         0.00000         0.00000         0.14400         0.05982         0.00000         0.00000         0.19638         0.07850         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.03411         0.01382         0.15877         0.00217         0.00000         0.00000         0.00000         0.06010         0.12161         0.00000         0.00000         0.00000         0.05460         0.18548         0.15713         0.00000         0.30994         0.12094         1.16356         0.43646         0.75640         1.27427         0.28489        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18015995      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         48         17.52330         0.00000         0.68648         0.19400         6.16444         1.01756         1.56366         1.77536         0.74369         2.48068         0.00000         0.00000         0.48740         0.00000         0.00000         0.00000         0.00206         0.11684         0.00000         0.03149         0.35753         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.03763         0.13842         0.00000         0.16482         0.00000         0.00000         0.10805         0.15225         0.18725         0.00000         0.00000         0.00471         0.14630         0.45207         0.17207         0.09123         0.00000         0.18891         0.00811         0.05031        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18022969      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         36         26.36755         0.00000         0.10056         1.71516         0.44222         2.30944         0.71333         1.44499         3.33324         0.00000         0.56581         0.04260         0.66665         0.04843         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.02837         0.02350         0.05544         0.00000         0.00000         0.00000         0.00000         0.00000         0.10011         0.00000         0.00000         0.00000         0.44867         5.42936         8.85202         0.00000         0.04766        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18025971      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         48         24.64305         0.00000         2.34689         5.91098         6.41950         5.60780         0.92139         0.39179         0.06820         0.40003         0.04963         0.72114         0.46718         0.07900         0.32550         0.00000         0.43555         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.05107         0.00000         0.00000         0.00000         0.00000         0.00000         0.05326         0.00000         0.21015         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.05624         0.00000         0.10765         0.00000         0.02011        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18032975      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         48         20.25869         0.00000         1.65548         5.09051         0.02909         5.98056         1.68211         0.32468         1.09431         0.00000         0.04889         0.29358         0.00000         0.00000         0.05064         0.00000         0.10342         0.00000         0.00000         0.00000         0.00000         0.00000         0.21053         0.04869         0.18797         0.25507         0.00000         1.31496         0.08024         0.22410         0.11496         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.14957         0.65944         0.65988        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18035978      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         48        100.11200         0.00000         0.00000         0.44064         2.89304         1.32600         0.25452         1.40844         0.79163         2.25459        56.45140         0.83314         0.00000         0.00000         0.00000         2.08903         0.11088         0.00000         0.00000         1.07099         0.75945         0.12104         0.00000         1.54479         1.98398         0.23421         0.00000         0.17559         0.15106         1.35405         2.18217         1.24692         2.55057         1.37141         0.77749         1.28926         0.57204         3.62335         0.64184         0.68463         0.83129         0.85910         1.30032         0.67372         1.43277         0.42258         0.18241         2.37152         0.85013        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18042984      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         49         17.51178         0.00000         0.00154         2.19528         7.07768         0.34876         0.00000         1.09559         0.14273         0.58832         0.77662         0.44572         0.38824         0.36042         0.00000         0.00000         0.00000         0.00846         0.04288         0.00000         0.00000         0.00000         0.00000         0.00000         0.11417         0.05018         0.26012         0.76242         0.00000         0.97293         0.05427         0.53701         0.00000         0.00000         0.00000         0.16166         0.05161         0.10291         0.00000         0.04791         0.10079         0.00000         0.00000         0.04787         0.00000         0.38814         0.26301         0.00000         0.00000         0.12451        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210815   18045992      0.000     30.000      0.000      0.000      0.000      0.000      70000          1    -57.000          3      0.500         42         17.36523         0.00000         0.00000         3.85024         1.19425         2.06002         0.31012         0.56832         0.55696         1.70632         0.00000         1.72798         0.00000         0.46874         1.46130         0.46554         0.00000         0.96884         0.00000         0.00000         0.00000         0.00000         0.15625         1.04216         0.00000         0.00000         0.00000         0.12975         0.00000         0.00000         0.00000         0.36507         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.33336        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
