% Lines starting with % are comments
% The format of and definitions in this file may change in future versions of LSSS, last changed in LSSS version 1.9.1
% Export time: Wed Feb 07 04:37:53 CET 2024, LSSS version 2.16.0
%
% Compact printout sorted by time, one species per file.
% Nation: Netherlands(528);  Platform: 2022_APELAFICO_2021-BE(2);  
% Survey: 2021-BE_P2_birkenfels_200khz (10);  
% Description: ;  
% Scatter type: SCATTER(1000);  
% Frequency: 200000[Hz];  Transceiver: 1[-];  
%
% DATE[yyyymmdd],TIME[hhmmssxx],START_LOG[nmi],STOP_LOG[nmi],Latitude[deg],Longitude[deg],MinDepth[m],MaxDepth[m],Frequency[Hz],Transceiver[-],Threshold[dB],Species[-],ScatterPCT[m],NoPelagic[-],P_CH#[m2/nmi2],...,P_CH#[m2/nmi2],BottomUpper[m],B_CH#[m2/nmi2],...,B_CH#[m2/nmi2]
      DATE       TIME  START_LOG   STOP_LOG   Latitude  Longitude   MinDepth   MaxDepth  Frequency  Transcei.  Threshold    Species ScatterPCT  NoPelagic          P_CH000          P_CH001          P_CH002          P_CH003          P_CH004          P_CH005          P_CH006          P_CH007          P_CH008          P_CH009          P_CH010          P_CH011          P_CH012          P_CH013          P_CH014          P_CH015          P_CH016          P_CH017          P_CH018          P_CH019          P_CH020          P_CH021          P_CH022          P_CH023          P_CH024          P_CH025          P_CH026          P_CH027          P_CH028          P_CH029          P_CH030          P_CH031          P_CH032          P_CH033          P_CH034          P_CH035          P_CH036          P_CH037          P_CH038          P_CH039          P_CH040          P_CH041          P_CH042          P_CH043          P_CH044          P_CH045          P_CH046          P_CH047          P_CH048          P_CH049          P_CH050          P_CH051          P_CH052          P_CH053          P_CH054          P_CH055          P_CH056          P_CH057          P_CH058          P_CH059          P_CH060          P_CH061          P_CH062          P_CH063          P_CH064          P_CH065          P_CH066          P_CH067          P_CH068          P_CH069          P_CH070          P_CH071          P_CH072          P_CH073          P_CH074          P_CH075          P_CH076          P_CH077          P_CH078          P_CH079          P_CH080          P_CH081          P_CH082          P_CH083          P_CH084          P_CH085          P_CH086          P_CH087          P_CH088          P_CH089          P_CH090          P_CH091          P_CH092          P_CH093          P_CH094          P_CH095          P_CH096          P_CH097          P_CH098          P_CH099          P_CH100      BottomUpper            B_CH0
  20210816    5152963      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         61         89.17474         0.00000         0.00000         0.00000         1.42767         1.77420         2.09506         0.06329         0.63393         3.34370         1.51924         1.72444         3.08947         1.36365         1.14758         1.54800         3.63698         1.26262         1.97033         5.00906         4.12127         1.86479         2.68357         4.01790         2.00825         2.40782         2.53098         3.85161         2.51262         2.44394         3.03314         2.00596         0.91604         2.14670         3.34380         1.56786         1.58332         2.12323         1.34154         1.59286         1.35763         1.85954         0.82435         0.24884         0.87430         0.74026         0.39455         0.71784         0.52967         0.26549         0.34894         0.26075         0.16360         0.14311         0.12505         0.04368         0.28430         0.13169         0.00000         0.06280         0.01736         0.07459        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5155960      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         60        111.33675         0.00000         0.00000         0.00000         0.00000         0.36153         4.41782         0.22995         3.20473         1.79654         5.85569         1.04668         3.69754         1.46686         3.60130         2.38335         3.11862         2.93331         6.83433        33.15670         4.06054         1.38152         1.67407         3.63750         1.26654         1.31354         1.92372         2.09976         1.12540         2.16222         1.29152         0.93416         1.54791         0.52645         0.83240         0.91898         1.74306         1.26337         0.86813         0.46334         1.84106         1.25360         0.49945         0.34073         0.11866         0.26022         0.58788         0.00000         0.20928         0.13614         0.24854         0.07007         0.00000         0.04451         0.01281         0.14530         0.04451         0.01748         0.30071         0.00000         0.06673        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5162956      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         58         55.61758         0.00000         0.00000         0.00000         0.07465         0.00000         0.70869         8.97516         2.16059         0.66749         2.68107         0.19885         1.20261         4.24421         2.81863         2.77990         0.20495         1.70603         2.04539         1.57973         1.64406         1.09516         0.94613         1.29626         1.55474         2.62968         0.48116         0.35754         0.82807         1.65927         1.06956         0.72398         0.78389         0.14804         1.73032         1.06023         0.82162         0.31842         1.51717         0.24145         0.43126         0.61514         0.08074         0.18393         0.48423         0.24398         0.24152         0.03914         0.00000         0.01749         0.10031         0.01785         0.01781         0.00000         0.00000         0.00000         0.00000         0.16986         0.01966        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5165953      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         61         59.80996         0.00000         0.00000         0.00000         0.07215         0.00000         6.92467         2.08596         5.65018         2.82252         3.67070         0.25566         1.25451         1.70215         0.93822         0.11948         2.17360         0.22105         2.17063         2.40078         1.48411         1.25529         1.73841         1.53624         0.85228         0.86027         2.08210         1.36948         0.55149         1.04109         1.25567         1.09344         0.94092         0.75786         1.00131         0.90527         0.96114         0.42429         0.67198         0.07604         0.58446         0.63101         0.00000         0.08445         0.14454         0.24125         0.61907         0.21836         0.40184         0.24087         0.40787         0.41857         0.15472         0.25873         0.21279         0.16188         0.03557         0.11692         0.68788         0.22760         0.24159         0.39904        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5172949      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         56         51.11972         0.00000         0.00000         0.06029         1.63901         0.13049         0.01892         3.26009         1.37080         1.24585         2.35256         3.48295         0.47782         1.07276         3.84602         2.30737         3.04665         0.80539         0.42991         0.26451         1.26439         1.31417         1.02564         1.92646         0.12206         0.46537         1.26051         0.50043         0.37926         1.42454         0.85129         1.19302         1.21456         1.55290         0.43339         1.25122         1.78713         0.42639         0.24716         1.13289         0.45075         0.03943         0.67445         0.20234         0.49981         0.90984         0.11316         0.07133         0.29061         0.32216         1.11291         0.39385         0.14589         0.01887         0.25201         0.00000         0.03814        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5175946      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         60         46.17848         0.00000         0.00000         3.58750         0.00000         1.18102         0.77463         0.65921         0.16482         2.41033         2.24979         1.14230         2.16269         4.39422         1.87301         0.53051         1.44950         2.39913         2.55537         2.07568         0.98530         0.47225         2.81592         1.25496         1.21973         0.22171         1.20281         0.62434         0.52972         0.69109         0.90242         0.58475         1.36064         0.77581         0.90927         0.51698         0.04784         0.22088         0.11565         0.00000         0.03631         0.00000         0.00000         0.06515         0.42506         0.01730         0.01922         0.01835         0.03958         0.21810         0.10404         0.00000         0.00000         0.01836         0.05345         0.00000         0.00000         0.03885         0.01739         0.00000         0.04550        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5182942      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         59         54.55700         0.00000         0.00000         5.53486         0.89282         1.56189         0.06167         1.32672         3.80676         1.32103         4.29822         4.11326         1.34865         1.22949         2.53074         1.76647         0.76367         1.04406         1.39269         1.99800         1.89192         0.89851         0.96722         1.60571         0.97824         1.71705         0.40143         0.52386         0.60323         0.04311         0.31288         0.36028         0.30563         0.83261         1.15480         0.38245         0.99673         0.52083         1.43260         0.24470         0.40152         1.01454         0.42658         0.00000         0.04019         0.07552         0.30987         0.32121         0.29601         0.17169         0.11042         0.08355         0.01758         0.07575         0.00000         0.00000         0.00000         0.00000         0.00000         0.04781        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5185939      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         60         65.42785         0.00000         0.00000         0.00000         1.80820         4.85632         2.02573         2.10597         3.55716         3.58495         1.96882         0.29994         2.64622         3.96812         2.53577         1.08705         2.14461         3.25211         1.06858         0.98317         0.64249         0.54292         1.53102         1.01129         0.74029         0.87687         0.58192         1.63748         0.33278         0.53607         1.97795         0.71675         2.05402         1.20640         0.98346         0.66031         0.39240         0.23415         0.32640         0.37923         1.18346         0.81857         0.97371         1.02622         1.06455         0.36787         0.74397         0.46299         0.29552         0.17349         1.17794         0.41132         0.22803         0.36756         0.06160         0.36408         0.09249         0.05597         0.09318         0.17344         0.03495        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5192999      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         59         76.19580         0.00000         0.00000         1.22052         0.00000         3.43035         1.76948         0.00000         8.62629         1.41406         1.17222         1.43220         1.49427         2.45106         1.70147         2.08559         2.06354         1.19154         2.32528         1.54778         2.47619         0.62030         1.51459         0.42458         0.91510         1.20450         0.77602         1.56191         0.95024         2.23371         0.89013         1.25801         0.41343         0.51776         0.31776         1.14270         0.76369         0.98394         0.78851         0.88941         1.08599         0.97485         1.37323         1.28779         0.65883         0.79445         0.14464         0.40668         0.86745         8.72020         2.42374         0.74023         0.85527         0.31382         0.15799         0.15499         0.38588         0.02812         0.21549         0.03803        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20210816    5195995      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -55.000          3      0.500         59         90.64518         0.00000         0.00000         0.25228         0.00000         1.78316         1.69009         2.45026         0.13538         1.95008         1.75378         2.10502         4.03376         3.20535         1.62033         3.05784         1.84755         2.11709         1.34091         1.26860         1.50601         2.52765         2.26764         1.55565         3.17478         3.17545         2.15676         2.61571         2.02630         1.80573         1.82142         2.70950         2.23244         2.47070         2.07967         2.39795         3.57087         1.74150         1.75654         1.02081         3.41869         2.60908         1.51792         1.54222         0.85684         1.52125         0.68855         0.62820         1.08254         0.62267         0.16940         0.19574         0.11212         0.16307         0.00000         0.11106         0.04099         0.00000         0.10158         0.03869        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
