% Lines starting with % are comments
% The format of and definitions in this file may change in future versions of LSSS, last changed in LSSS version 1.9.1
% Export time: Sat Mar 09 03:53:08 CET 2024, LSSS version 2.16.0
%
% Compact printout sorted by time, one species per file.
% Nation: Netherlands(528);  Platform: 2023_APELAFICO_2023-BSW(6);  
% Survey: 2023-BSW_274174 BSW1_200khz (7);  
% Description: ;  
% Scatter type: SCATTER(1000);  
% Frequency: 200000[Hz];  Transceiver: 1[-];  
%
% DATE[yyyymmdd],TIME[hhmmssxx],START_LOG[nmi],STOP_LOG[nmi],Latitude[deg],Longitude[deg],MinDepth[m],MaxDepth[m],Frequency[Hz],Transceiver[-],Threshold[dB],Species[-],ScatterPCT[m],NoPelagic[-],P_CH#[m2/nmi2],...,P_CH#[m2/nmi2],BottomUpper[m],B_CH#[m2/nmi2],...,B_CH#[m2/nmi2]
      DATE       TIME  START_LOG   STOP_LOG   Latitude  Longitude   MinDepth   MaxDepth  Frequency  Transcei.  Threshold    Species ScatterPCT  NoPelagic          P_CH000          P_CH001          P_CH002          P_CH003          P_CH004          P_CH005          P_CH006          P_CH007          P_CH008          P_CH009          P_CH010          P_CH011          P_CH012          P_CH013          P_CH014          P_CH015          P_CH016          P_CH017          P_CH018          P_CH019          P_CH020          P_CH021          P_CH022          P_CH023          P_CH024          P_CH025          P_CH026          P_CH027          P_CH028          P_CH029          P_CH030          P_CH031          P_CH032          P_CH033          P_CH034          P_CH035          P_CH036          P_CH037          P_CH038          P_CH039          P_CH040          P_CH041          P_CH042          P_CH043          P_CH044          P_CH045          P_CH046          P_CH047          P_CH048          P_CH049          P_CH050          P_CH051          P_CH052          P_CH053          P_CH054          P_CH055          P_CH056          P_CH057          P_CH058          P_CH059          P_CH060          P_CH061          P_CH062          P_CH063          P_CH064          P_CH065          P_CH066          P_CH067          P_CH068          P_CH069          P_CH070          P_CH071          P_CH072          P_CH073          P_CH074          P_CH075          P_CH076          P_CH077          P_CH078          P_CH079          P_CH080          P_CH081          P_CH082          P_CH083          P_CH084          P_CH085          P_CH086          P_CH087          P_CH088          P_CH089          P_CH090          P_CH091          P_CH092          P_CH093          P_CH094          P_CH095          P_CH096          P_CH097          P_CH098          P_CH099          P_CH100      BottomUpper            B_CH0
  20230610    5052979      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         60        781.89087         0.00000         0.39660         7.02397         1.13571         4.86400         4.17313         2.39336         5.44225         1.02445         5.51496         7.27321         6.85067         3.74296        10.55058         9.96040        17.10720        13.83479         9.47556         6.96613        11.86576        11.98556        14.44029        15.14857        13.67018        14.15211        12.41458        10.95760        12.57283        11.18553        84.42033         8.79060        11.10423        12.05510        11.65945         6.57543        78.55548         5.33014        11.96595         6.16045         8.01787         5.99550        29.52347       179.94510         8.34244         6.50692         4.92740         9.36106         5.53838         4.42125         3.64973         4.35790         4.18423         3.53518         4.26951         3.26641         3.05755         1.91728         2.62921         3.68510         2.01928        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5055977      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         60        654.14557         0.00000         0.00000         2.82211         3.63518         1.08335         5.40407         1.26266         8.38004         4.48405        12.07642         5.61588         2.73499         7.03105        22.31960         7.78522         6.89254        10.95558         7.72519         7.02700         9.54691         7.87853         8.64301         9.59017         9.83875        11.52714        11.03316         8.45893        11.21839        12.37696        10.84846        12.51490        12.20067         7.97148        11.64069         8.67767         8.11659        11.77597        25.50176        13.47318        11.63797        25.78133        11.53116        14.49023        14.41703        16.04000        15.97015        15.07541        14.37137        15.90768        15.06969        15.79016        17.75354        15.93470        16.28915        13.73566        15.32039        16.16824        18.39052        13.91850         0.48446        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5062974      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         60        560.60205         0.00000         0.00000         0.79830         3.15475         3.12076         1.45337         3.31044         8.84460         5.86985        25.22889         5.87500        12.22595         3.37740         7.69399        12.09426         7.54972        10.87763        10.04820        10.30095         8.53087        12.31781        10.54233        13.48668        11.87866         7.30304         7.80095         8.41562        11.98787        10.76559        13.53234        12.22744        13.76334         7.07489         9.66376         8.82840         9.80884         9.56432         9.28613        11.46031        11.81625        16.41155        13.64250        11.20661         7.77941        11.91235         8.86010         9.66474         8.57580         8.73131        11.54852        11.47406         9.41121        14.34240        10.31388        12.24176        11.29331        12.70180        10.49789         7.77823         0.33510        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5065971      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         61       5000.11035         0.00000         0.00000         1.95769         0.79052         6.17285         2.78401         6.88087         5.22150         5.78777         5.06615         8.73388         4.95058         9.16505         6.52986         6.44878         9.34563        11.31980        10.42729        11.32149         9.64292        16.96240        15.92595        19.10330        13.21902        17.37768        11.95900        15.67621        18.30580        13.27575        14.85427        13.97785        16.23318        19.12738        12.62559        10.92772        12.69779        32.20380        76.30692       120.07261       283.65271      1897.54565      1122.44006       428.41684       389.44910        12.96540       142.67870         9.81038         8.48003        10.04356        10.26143         9.58535        12.66095        14.06751        10.88979        10.94871         8.56561         8.04896         5.85673         6.26671         3.16643         0.93084        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5072969      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         59       2019.13562         0.00000         0.00000         3.23371         0.48748         2.46656         4.15314         2.88949         7.45279         7.41053         7.59292         8.65151         7.96149         5.96644         7.52013        15.10337        10.42896        12.78662        14.00004        20.71371        19.74363        12.91702        12.82548        10.91042        12.17229        12.51715        16.59398        18.42633        23.73699        16.46141        15.80084        16.96593        17.68241        18.21452        16.08449        21.40353        18.09380        15.97173        12.74984        24.20809        52.96992       698.99860        43.29900       103.83061       250.49278       179.93311        69.88643         9.26569         9.15043         9.24713        70.13619         9.78904         6.84180         5.60704         4.15369         3.85897         4.96051         3.77561         5.99079         4.64951        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5075966      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         60        736.57220         0.00000         0.00000         1.55807         4.18132         1.83461         2.92863         4.92507         2.38077         8.48725         3.52743         6.43998        15.44803        10.76339         6.19876         6.58900         7.86523         4.91837         5.85152         7.87307         7.10604         3.40127         6.68275         6.68447        11.37226         7.72885        11.40191        14.07477        14.36956        13.99466        13.75579        11.48695        18.44636        16.64956        17.43060        22.65283        19.28550        18.41879        18.33225        20.08739        20.11379        23.06226        26.49444        24.02024        20.83273        16.89078        17.44413        17.29068        14.95690        15.12554        18.08426        13.74745        15.38344        15.49927        16.98049        15.39489        16.64916        19.62243        16.90450        12.90613         4.03563        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5082963      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         61        720.36066         0.00000         0.00000         0.41773         0.86892         1.08821         5.60666         2.18173         3.03731         2.64609         0.74076         7.34184         2.49023         6.90248         9.62744         8.47260         9.08375         8.61497         8.55726         7.85711         9.07180        13.18736        13.22489        12.43481        10.25920        13.64933        17.04619        18.32051        15.98709        17.52753        22.30270        20.32356        20.11477        22.97110        24.35303        21.52562        24.86503        40.77284        26.21626        27.09813        19.25175        20.16032        22.96512        20.67387        18.41125        15.04157        13.09975        12.40274         9.94611         8.88505         9.62787         9.97726         8.45695         8.27226         7.88860         7.44956         9.06736         7.81212         6.72528         4.24157         2.90293         0.31448        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5085961      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         62        855.53400         0.00000         0.00000         0.60893         0.70758         6.09431         3.14374         5.77001         8.74134         8.43176         3.19829         6.51702         7.91758         8.41879         5.61416         8.08309         8.17775         6.98547        11.36158         7.91234        10.80597         8.06978        14.06788        16.34259        12.44563        13.06361        18.91351        21.48302        22.36578        21.10251        21.07406        26.94562        21.96522        22.82177        16.98865        16.48519        13.12354        13.04631        15.23127        23.28839         8.45784         8.40671         6.54036         7.44217         6.03700         4.59020        16.01557        20.43001       204.68962         3.41267         5.99526         5.43034         6.16053         8.17592        11.79878        12.47568        14.46595        13.58511        11.40427        10.45241         7.88666         4.23683         0.13011        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5092958      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         61        768.12524         0.00000         0.00000         0.41189         1.16051         4.04323         0.75918         5.99722         4.59420         5.14720         2.40788        11.50961         7.91237         7.24960         4.11295         4.00075         5.75870         4.43245         6.46491        68.15981       152.67642         6.27907         8.79721         9.08212         9.04486         7.64747        13.74357        10.20549        16.56384        13.86813        12.22689         7.99774        13.72278        12.07339        13.45915        13.07449        15.74028        21.02989        16.17998        21.48180        16.31650        15.36677        14.25597        10.18034         9.96705         8.11642         8.86725         6.85796         9.75054         7.39865        17.52837        25.91024        24.44127         7.57769         8.00611         6.82765         6.83490         6.08917         7.06205         4.44642         3.91251         3.39439        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
  20230610    5095955      0.000     30.000      0.000      0.000      0.000      0.000     200000          1    -60.000          3      0.500         62       1355.54492         0.00000         0.00000         0.44201         1.50523         1.13737         0.49658         2.54520         0.78996         2.39851        10.04874         3.93024         9.49255        13.33784         8.31858        27.75134        10.79118        20.64171         4.43331         7.92731        14.62833        11.04159        16.82033         5.47470        20.37503        23.47704        25.30302        23.97717        23.80108        22.02521        34.21365        39.58665        25.42100        26.60795        24.41087        23.87013        23.10302        25.48806        80.71603        92.05606        54.26642        19.92254        11.71103        21.55373       357.85223        12.53652        13.87265         9.21927        10.50076        10.11849        12.82259        16.74952        14.18540        18.09400        13.66695        11.23718        13.79888         6.20132         4.03897         2.51596         3.65683         8.31273         0.32637        -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000         -1.00000            0.000          0.00000
