year,dataSet,station,,freq,date_start,date_end,lat,lon,soundtrap,CPOD,WBAT_70,WBAT_200,pairing,type
2021,2021-BE,grafton,,70kHz and 200 kHz,07/12/2021,8/30/2021,51.40645,2.8185,0,1,1,1,2,control
2021,2021-BE,birkenfels,,70kHz and 200 kHz,07/12/2021,8/30/2021,51.55092976,2.573744636,0,1,1,1,1,control
2021,2021-BE,cpower,,Lost,07/12/2021,8/30/2021,51.54108087,2.91744,0,1,0,0,2,OWF
2021,2021-BE,belwind,,70kHz and 200 kHz,07/12/2021,8/30/2021,51.65512058,2.793530261,0,1,1,1,1,OWF
2023,2023-BE,belwind,,70kHz and 200 kHz,07/05/2023,09/03/2023,51.65615,2.79098,0,1,1,1,1,OWF
2023,2023-BE,cpower,,70 kHz,07/05/2023,09/03/2023,51.57488,2.987042,0,1,1,0,2,OWF
2023,2023-BE,gardencity,,70kHz and 200 kHz,07/05/2023,09/03/2023,51.48582,2.307382,0,1,1,1,1,control
2023,2023-BE,grafton,,70kHz and 200 kHz,07/05/2023,09/03/2023,51.440645,2.8185,0,1,1,1,2,control
2023,2023-BSW,267814 BSW3,,70kHz,05/07/2023,6/16/2023,51.668517,3.0753,0,1,1,1,2,OWF
2023,2023-BSW,267838 BSW4,,70kHz and 200 kHz,05/07/2023,6/16/2023,51.747667,2.829,0,1,1,1,1,OWF
2023,2023-BSW,274174 BSW1,,70kHz and 200 kHz,05/07/2023,6/16/2023,51.839,3.236367,0,1,1,1,1,control
2023,2023-BSW,278093 BSW2,,70kHz and 200 kHz,05/07/2023,6/16/2023,51.705,3.240733,0,1,1,0,2,control
2024,2024-BE,cpower,,70kHz and 200 kHz,10/04/2023,12/04/2023,51.57488,2.987042,0,1,1,1,1,OWF
2024,2024-BE,grafton,,70kHz and 200 kHz,10/04/2023,12/04/2023,51.40645,2.8185,0,1,1,1,1,control
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Station,freq,C-POD,date_start,date_end,pairing,type,,,,,,,
2021,Birkenfels,70kHz and 200 kHz,1,12/07/2021,30/08/2021,1,control,,,,,,,
2021,Belwind,70kHz and 200 kHz,1,12/07/2021,30/08/2021,1,OWF,,,,,,,
2021,Grafton,70kHz and 200 kHz,1,12/07/2021,30/08/2021,2,control,,,,,,,
2021,Cpower (Zone A),Lost,1,12/07/2021,30/08/2021,2,OWF,,,,,,,
2023,Gardencity,70kHz and 200 kHz,1,05/07/2023,03/09/2023,1,control,,,,,,,
2023,Belwind,70kHz and 200 kHz,1,05/07/2023,03/09/2023,1,OWF,,,,,,,
2023,Grafton,70kHz and 200 kHz,1,05/07/2023,03/09/2023,2,control,,,,,,,
2023,Cpower (Zone B),70 kHz,1,05/07/2023,03/09/2023,2,OWF,,,,,,,
2023,BSW1,70kHz and 200 kHz,1,07/05/2023,16/06/2023,1,control,,,,,,,
2023,Borselle IV,70kHz and 200 kHz,1,07/05/2023,16/06/2023,1,OWF,,,,,,,
2023,BSW2,70kHz and 200 kHz,1,07/05/2023,16/06/2023,2,control,,,,,,,
2023,Borselle II,70kHz,1,07/05/2023,16/06/2023,2,OWF,,,,,,,
2024,Grafton,70kHz and 200 kHz,1,04/10/2023,04/12/2023,1,control,,,,,,,
2024,Cpower (Zone B),70kHz and 200 kHz,1,04/10/2023,04/12/2023,1,OWF,,,,,,,
