receiver,projectcode,deployDateTime,recoverDateTime,stationName,intendedLat,intendedLong,dropDeadDate,overwriteEndDate,idPk,bottomDepth,riserLength,instrumentDepth,batteryInstallDate,checkCompleteTime,downloadDateTime,locationName,locationManager,locationDescription,deployLat,deployLong,recoverLat,recoverLong,distanceToMouth,dataDownloaded,voltageAtDownload,timeDrift,transmitProfile,transmitPowerOutput,logTemperatureStatsPeriod,logTemperatureSamplePeriod,logTiltSamplePeriod,logNoiseStatsPeriod,logNoiseSamplePeriod,logDepthStatsPeriod,logDepthSamplePeriod,comments,projectmember,receiverStatus,mooringType,externalId,hasAnimals
VR2AR-550755,Apelafico,05/07/2021 00:00,15/09/2021 00:00,bpns-AP_CW,,,,,12747,,,,,,15/09/2021 00:00,C-Power windfarm,,,51.54153,2.91744,,,,VR2AR_550755_20210915_1.vrl,,,,,,,,,,,,Mooring + receiver retrieved. WBAT fell off from mooring.,1,Available,bottom-mooring,,1
VR2AR-550755,Apelafico,14/01/2022 13:04,22/03/2022 00:00,bpns-APCpower1,,,,,13298,,,,14/12/2021,,22/03/2022 00:00,FG experiment station Cpower1,,,51.545713,2.909587,,,,VR2AR_550755_20220322_1.vrl,,,,,,,,,,,,60m of rope. Deterrence test experiment. Station 1 in Norther OWF.,1,Available,bottom-mooring,,1
VR2AR-550755,Apelafico,11/08/2022 14:05,08/12/2022 00:00,HKZ-3,,,,,29733,,,,,,08/12/2022 00:00,HKZ-3,,,52.24817,4.020277,,,,VR2AR_550755_20221208_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550755,Apelafico,10/01/2023 09:30,06/03/2023 00:00,HKN-1,,,,,54170,,,,15/12/2022,,06/03/2023 00:00,HKN-1,,,52.64855304,4.152944979,,,,VR2AR_550755_20230306_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550755,Apelafico,27/06/2023 12:17,05/09/2023 00:00,AP_CPower-2,,,,,57779,,,,,,05/09/2023 00:00,AP_CPower-2,,,51.57488,2.987042,,,,VR2AR_550755_20230905_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550755,Apelafico,08/05/2023 09:30,16/06/2023 13:54,dpns-Borssele2,,,,,62494,,,,,04/03/2024,,dpns-Borssele2,,,51.705,3.240733,,,,,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550761,Apelafico,05/07/2021 00:00,16/12/2021 00:00,bpns-Grafton,,,,,12744,,,,,,04/01/2022 00:00,Grafton,,,51.40645,2.8185,,,,VR2AR_550761_20220104_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550761,Apelafico,14/01/2022 13:47,22/03/2022 00:00,bpns-APCpower4,,,,,15799,,60m,,16/12/2021,,22/03/2022 00:00,bpns-APCpower4,,,51.532983,2.933061,,,,VR2AR_550761_20220322_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550761,Apelafico,11/08/2022 14:05,08/12/2022 00:00,HKZ-1,,,,,29734,,,,,,08/12/2022 00:00,HKZ-1,,,52.21035,3.99438,,,,VR2AR_550761_20221208_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550761,Apelafico,10/01/2023 09:30,06/03/2023 00:00,HKN-2,,,,,54171,,,,15/12/2022,,06/03/2023 00:00,HKN-2,,,52.65659336,4.158183281,,,,VR2AR_550761_20230306_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550761,Apelafico,27/06/2023 18:23,05/09/2023 00:00,AP_Belwind,,,,,57778,,,,,,05/09/2023 00:00,AP_Belwind,,,51.65615,2.79098,,,,VR2AR_550761_20230905_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550761,Apelafico,08/05/2023 09:30,16/06/2023 13:53,dpns-Borssele3,,,,,62495,,,,,,,dpns-Borssele3,,,51.668517,3.0753,,,,,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550762,Apelafico,05/07/2021 00:00,17/09/2021 00:00,bpns-AP_BW,,,,,12746,,,,,,17/09/2021 00:00,Belwind windfarm,,,51.65615,2.79098,,,,VR2AR_550762_20210917_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550762,Apelafico,14/01/2022 13:20,22/03/2022 00:00,bpns-APCpower2,,,,,13338,,60M,,16/12/2021,,22/03/2022 00:00,bpns-APCpower2,,,51.541151,2.917682,,,,VR2AR_550762_20220322_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550762,Apelafico,11/08/2022 14:05,08/12/2022 00:00,HKZ-2,,,,,29735,,,,,,08/12/2022 00:00,HKZ-2,,,52.18509,3.993212,,,,VR2AR_550762_20221208_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550762,Apelafico,10/01/2023 09:30,06/03/2023 00:00,HKN-7,,,14/02/2024,,54172,,,,15/12/2022,,,HKN-7,,,52.65445441,4.278763817,,,,,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550762,Apelafico,30/06/2023 09:03,02/10/2023 00:00,AP_Grafton,,,,,59055,,,,,,02/10/2023 00:00,AP_Grafton,,,51.40645,2.8185,,,,VR2AR_550762_20231002_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550762,Apelafico,08/05/2023 09:30,20/06/2023 00:00,dpns-Borssele1,,,,,62493,,,,,,20/06/2023 00:00,dpns-Borssele1,,,51.839,3.236367,,,,VR2AR_550762_20230620_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550763,Apelafico,05/07/2021 00:00,15/09/2021 00:00,bpns-Birkenfels,,,,,12745,,,,,,15/09/2021 00:00,Birkenfels,,,51.64833,2.536167,,,,VR2AR_550763_20210915_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550763,Apelafico,14/01/2022 13:33,22/03/2022 00:00,bpns-APCpower3,,,,,13339,,60m,,16/12/2021,,22/03/2022 00:00,bpns-APCpower3,,,51.537104,2.92504,,,,VR2AR_550763_20220322_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550763,Apelafico,11/08/2022 14:05,08/12/2022 00:00,HKZ-4,,,,,29736,,,,,,08/12/2022 00:00,HKZ-4,,,52.21,3.974303,,,,VR2AR_550763_20221208_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550763,Apelafico,10/01/2023 09:30,06/03/2023 00:00,HKN-12,,,,,54173,,,,15/12/2022,,06/03/2023 00:00,HKN-12,,,52.64826177,4.182500903,,,,VR2AR_550763_20230306_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550763,Apelafico,28/06/2023 05:03,07/09/2023 00:00,AP_Gardencity,,,,,57777,,,,,,07/09/2023 00:00,AP_Gardencity,,,51.485816,2.307382,,,,VR2AR_550763_20230907_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550763,Apelafico,08/05/2023 09:30,16/06/2023 13:53,dpns-Borssele4,,,,,62496,,,,,,,dpns-Borssele4,,,51.747667,2.829,,,,,,,,,,,,,,,,,1,Available,bottom-mooring,,1
VR2AR-550755,PelFish,02/10/2023 09:24,13/12/2023 00:00,PelFish_CPower-2,,,08/09/2024,,59113,,,,10/07/2023,,13/12/2023 00:00,PelFish_CPower-2,,,51.574889,2.987056,,,,VR2AR_550755_20231213_1.vrl,,,,,,,,,,,,,1,Available,bottom-mooring,,1
