"","objectid","naam","lat","lon","geometry"
"297",297,"Borssele III",51.7231447235566,2.95377818914602,c(2.95377818914602, 51.7231447235566)
"298",298,"Borssele III",51.7114044360201,2.93873887326327,c(2.93873887326327, 51.7114044360201)
"299",299,"Borssele III",51.6970968954303,2.92023994548089,c(2.92023994548089, 51.6970968954303)
"300",300,"Borssele III",51.6802688078037,2.89994192017613,c(2.89994192017613, 51.6802688078037)
"301",301,"Borssele III",51.6667826270287,2.90221443252982,c(2.90221443252982, 51.6667826270287)
"302",302,"Borssele III",51.6830294560164,2.92040714133773,c(2.92040714133773, 51.6830294560164)
"303",303,"Borssele III",51.6978322440287,2.94099835240205,c(2.94099835240205, 51.6978322440287)
"304",304,"Borssele III",51.7109649697639,2.95856946455813,c(2.95856946455813, 51.7109649697639)
"305",305,"Borssele III",51.7162719714995,2.98042230179974,c(2.98042230179974, 51.7162719714995)
"306",306,"Borssele III",51.6997697374801,2.96139958866908,c(2.96139958866908, 51.6997697374801)
"307",307,"Borssele III",51.6855586693037,2.94412870800747,c(2.94412870800747, 51.6855586693037)
"308",308,"Borssele III",51.6682362687229,2.9233989343455,c(2.9233989343455, 51.6682362687229)
"309",309,"Borssele III",51.6513336488393,2.92595421925513,c(2.92595421925513, 51.6513336488393)
"310",310,"Borssele III",51.6699594797997,2.94783444214313,c(2.94783444214313, 51.6699594797997)
"311",311,"Borssele III",51.6875915407242,2.96958181530934,c(2.96958181530934, 51.6875915407242)
"312",312,"Borssele III",51.7008546550725,2.98592534444154,c(2.98592534444154, 51.7008546550725)
"313",313,"Borssele III",51.694380956742,3.00791946314903,c(3.00791946314903, 51.694380956742)
"314",314,"Borssele III",51.7013918761965,3.03332311802909,c(3.03332311802909, 51.7013918761965)
"315",315,"Borssele III",51.6891194810762,3.02889313437088,c(3.02889313437088, 51.6891194810762)
"316",316,"Borssele III",51.6763484201235,3.02440019749405,c(3.02440019749405, 51.6763484201235)
"317",317,"Borssele III",51.6624617039433,3.02129163287809,c(3.02129163287809, 51.6624617039433)
"318",318,"Borssele III",51.6498293300439,3.01723150592918,c(3.01723150592918, 51.6498293300439)
"319",319,"Borssele III",51.6382308643339,3.01427013811524,c(3.01427013811524, 51.6382308643339)
"320",320,"Borssele III",51.6254619435686,3.0094978493358,c(3.0094978493358, 51.6254619435686)
"321",321,"Borssele III",51.6139091068029,3.00776131383938,c(3.00776131383938, 51.6139091068029)
"322",322,"Borssele III",51.6024462564183,3.00710859499554,c(3.00710859499554, 51.6024462564183)
"323",323,"Borssele III",51.6151210998764,2.98732425071936,c(2.98732425071936, 51.6151210998764)
"324",324,"Borssele III",51.6273915022591,2.96637544119104,c(2.96637544119104, 51.6273915022591)
"325",325,"Borssele III",51.639522779731,2.94750709143839,c(2.94750709143839, 51.639522779731)
"326",326,"Borssele III",51.6552608911166,2.95420808962766,c(2.95420808962766, 51.6552608911166)
"327",327,"Borssele III",51.6698340798869,2.97726017373728,c(2.97726017373728, 51.6698340798869)
"328",328,"Borssele III",51.6826952146857,2.99497301341419,c(2.99497301341419, 51.6826952146857)
"329",329,"Borssele III",51.6685930788861,3.00313536003221,c(3.00313536003221, 51.6685930788861)
"330",330,"Borssele III",51.6546400571638,2.99208703119517,c(2.99208703119517, 51.6546400571638)
"331",331,"Borssele III",51.7196903319471,2.96717314338514,c(2.96717314338514, 51.7196903319471)
"332",332,"Borssele III",51.6452413022925,2.96838270735177,c(2.96838270735177, 51.6452413022925)
"333",333,"Borssele III",51.6335117517975,2.98811670083197,c(2.98811670083197, 51.6335117517975)
"334",334,"Borssele IV",51.7650863398847,2.88842213392673,c(2.88842213392673, 51.7650863398847)
"335",335,"Borssele IV",51.7677169968848,2.90474918357322,c(2.90474918357322, 51.7677169968848)
"336",336,"Borssele IV",51.7720895313336,2.92437762150223,c(2.92437762150223, 51.7720895313336)
"337",337,"Borssele IV",51.776190048064,2.94328416508341,c(2.94328416508341, 51.776190048064)
"338",338,"Borssele IV",51.7789849624422,2.96031374187488,c(2.96031374187488, 51.7789849624422)
"339",339,"Borssele IV",51.7829035888604,2.98046595725634,c(2.98046595725634, 51.7829035888604)
"340",340,"Borssele IV",51.7864554753328,2.99706031250402,c(2.99706031250402, 51.7864554753328)
"341",341,"Borssele IV",51.7721533008803,2.97735125668592,c(2.97735125668592, 51.7721533008803)
"342",342,"Borssele IV",51.761722209466,2.96402853953849,c(2.96402853953849, 51.761722209466)
"343",343,"Borssele IV",51.7497577811783,2.94933703378476,c(2.94933703378476, 51.7497577811783)
"344",344,"Borssele IV",51.7601189975052,2.90933434508103,c(2.90933434508103, 51.7601189975052)
"345",345,"Borssele IV",51.760675424818,2.93236889816487,c(2.93236889816487, 51.760675424818)
"346",346,"Borssele IV",51.7427664918766,2.77467166247719,c(2.77467166247719, 51.7427664918766)
"347",347,"Borssele IV",51.7457662454793,2.79370114477971,c(2.79370114477971, 51.7457662454793)
"348",348,"Borssele IV",51.749801509161,2.81403491107612,c(2.81403491107612, 51.749801509161)
"349",349,"Borssele IV",51.7539660870403,2.83248949315301,c(2.83248949315301, 51.7539660870403)
"350",350,"Borssele IV",51.7577268828654,2.85319378086839,c(2.85319378086839, 51.7577268828654)
"351",351,"Borssele IV",51.7526616974569,2.86733515515603,c(2.86733515515603, 51.7526616974569)
"352",352,"Borssele IV",51.7488586368666,2.88364130839589,c(2.88364130839589, 51.7488586368666)
