"","ID","year","dataSet","station","freq","date_start","date_end","lat","lon","soundtrap","CPOD","WBAT_70","WBAT_200","pairing","type"
"1","2021-BE_grafton","2021","2021-BE","grafton","70kHz and 200 kHz","07/12/2021","8/30/2021",51.40645,2.8185,0,1,1,1,2,"control"
"2","2021-BE_birkenfels","2021","2021-BE","birkenfels","70kHz and 200 kHz","07/12/2021","8/30/2021",51.64833,2.536167,0,1,1,1,1,"control"
"3","2021-BE_cpower","2021","2021-BE","cpower","Lost","07/12/2021","8/30/2021",51.54153,2.91744,0,1,0,0,2,"OWF"
"4","2021-BE_belwind","2021","2021-BE","belwind","70kHz and 200 kHz","07/12/2021","8/30/2021",51.65615,2.79098,0,1,1,1,1,"OWF"
"5","2023-BE_belwind","2023","2023-BE","belwind","70kHz and 200 kHz","07/05/2023","09/03/2023",51.65615,2.79098,0,1,1,1,1,"OWF"
"6","2023-BE_cpower","2023","2023-BE","cpower","70 kHz","07/05/2023","09/03/2023",51.57488,2.987042,0,1,1,0,2,"OWF"
"7","2023-BE_gardencity","2023","2023-BE","gardencity","70kHz and 200 kHz","07/05/2023","09/03/2023",51.485816,2.307382,0,1,1,1,1,"control"
"8","2023-BE_grafton","2023","2023-BE","grafton","70kHz and 200 kHz","07/05/2023","09/03/2023",51.40645,2.8185,0,1,1,1,2,"control"
"9","2023-BSW_BSW3","2023","2023-BSW","BSW3","70kHz","05/07/2023","6/16/2023",51.668517,3.0753,0,1,1,1,2,"OWF"
"10","2023-BSW_BSW4","2023","2023-BSW","BSW4","70kHz and 200 kHz","05/07/2023","6/16/2023",51.747667,2.829,0,1,1,1,1,"OWF"
"11","2023-BSW_BSW1","2023","2023-BSW","BSW1","70kHz and 200 kHz","05/07/2023","6/16/2023",51.839,3.236367,0,1,1,1,1,"control"
"12","2023-BSW_BSW2","2023","2023-BSW","BSW2","70kHz and 200 kHz","05/07/2023","6/16/2023",51.705,3.240733,0,1,1,0,2,"control"
"13","2024-BE_cpower","2024","2024-BE","cpower","70kHz and 200 kHz","10/04/2023","12/04/2023",51.574889,2.987056,0,1,1,1,1,"OWF"
"14","2024-BE_grafton","2024","2024-BE","grafton","70kHz and 200 kHz","10/04/2023","12/04/2023",51.40645,2.8185,0,1,1,1,1,"control"
